mean_speed_kmh,bus_type,level_of_loading,incline,t_amb,consumption_kwh_per_km,total_energy,heating_energy,heating_energy_el,ventilation_energy,other_energy,aux_energy,traction_power_fr_bat_wout_recup,traction_power_fr_bat_w_recup,recuperation_energy,traction_power_loss,energy_loss,distance
2.626,solaris_18m,0,-0.04,-20,16.392,0.989,0.833,0.833,0.018,0.07,0.919,0.021,0.021,0,0.117,0.117,59.699
2.626,solaris_18m,0,-0.04,-15,14.451,0.872,0.722,0.722,0.018,0.07,0.808,0.021,0.021,0,0.117,0.117,59.699
2.626,solaris_18m,0,-0.04,-10,12.549,0.757,0.613,0.613,0.018,0.07,0.699,0.021,0.021,0,0.117,0.117,59.699
2.626,solaris_18m,0,-0.04,-5,10.685,0.645,0.506,0.506,0.018,0.07,0.592,0.021,0.021,0,0.117,0.117,59.699
2.626,solaris_18m,0,-0.04,0,8.857,0.534,0.401,0.401,0.018,0.07,0.487,0.021,0.021,0,0.117,0.117,59.699
2.626,solaris_18m,0,-0.04,5,7.062,0.426,0.298,0.298,0.018,0.07,0.385,0.021,0.021,0,0.117,0.117,59.699
2.626,solaris_18m,0,-0.04,10,5.299,0.32,0.197,0.197,0.018,0.07,0.283,0.021,0.021,0,0.117,0.117,59.699
2.626,solaris_18m,0,-0.04,15,3.566,0.215,0.098,0.098,0.018,0.07,0.184,0.021,0.021,0,0.117,0.117,59.699
2.626,solaris_18m,0,-0.04,20,1.862,0.112,0,0,0.018,0.07,0.086,0.021,0.021,0,0.117,0.117,59.699
2.626,solaris_18m,0,-0.04,25,1.944,0.117,-0.096,0.005,0.018,0.07,0.091,0.021,0.021,0,0.117,0.117,59.699
2.626,solaris_18m,0,-0.04,30,2.187,0.132,-0.191,0.019,0.018,0.07,0.105,0.021,0.021,0,0.117,0.117,59.699
2.626,solaris_18m,0,-0.013333333,-20,16.65,1.005,0.833,0.833,0.018,0.07,0.919,0.037,0.037,0,0.046,0.046,59.699
2.626,solaris_18m,0,-0.013333333,-15,14.709,0.888,0.722,0.722,0.018,0.07,0.808,0.037,0.037,0,0.046,0.046,59.699
2.626,solaris_18m,0,-0.013333333,-10,12.807,0.773,0.613,0.613,0.018,0.07,0.699,0.037,0.037,0,0.046,0.046,59.699
2.626,solaris_18m,0,-0.013333333,-5,10.943,0.66,0.506,0.506,0.018,0.07,0.592,0.037,0.037,0,0.046,0.046,59.699
2.626,solaris_18m,0,-0.013333333,0,9.115,0.55,0.401,0.401,0.018,0.07,0.487,0.037,0.037,0,0.046,0.046,59.699
2.626,solaris_18m,0,-0.013333333,5,7.32,0.442,0.298,0.298,0.018,0.07,0.385,0.037,0.037,0,0.046,0.046,59.699
2.626,solaris_18m,0,-0.013333333,10,5.557,0.335,0.197,0.197,0.018,0.07,0.283,0.037,0.037,0,0.046,0.046,59.699
2.626,solaris_18m,0,-0.013333333,15,3.824,0.231,0.098,0.098,0.018,0.07,0.184,0.037,0.037,0,0.046,0.046,59.699
2.626,solaris_18m,0,-0.013333333,20,2.12,0.128,0,0,0.018,0.07,0.086,0.037,0.037,0,0.046,0.046,59.699
2.626,solaris_18m,0,-0.013333333,25,2.202,0.133,-0.096,0.005,0.018,0.07,0.091,0.037,0.037,0,0.046,0.046,59.699
