mean_speed_kmh,bus_type,level_of_loading,incline,t_amb,consumption_kwh_per_km,total_energy,heating_energy,heating_energy_el,ventilation_energy,other_energy,aux_energy,traction_power_fr_bat_wout_recup,traction_power_fr_bat_w_recup,recuperation_energy,traction_power_loss,energy_loss,distance
2.626,ebus2030_no_diesel_14m,0.0,-0.05,-20,15.121,0.912,0.763,0.763,0.014,0.082,0.857,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_no_diesel_14m,0.0,-0.05,-15,12.874,0.777,0.634,0.634,0.014,0.082,0.728,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_no_diesel_14m,0.0,-0.05,-10,10.695,0.645,0.509,0.509,0.014,0.082,0.603,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_no_diesel_14m,0.0,-0.05,-5,8.579,0.518,0.388,0.388,0.014,0.082,0.482,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_no_diesel_14m,0.0,-0.05,0,7.308,0.441,0.315,0.315,0.014,0.082,0.409,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_no_diesel_14m,0.0,-0.05,5,6.072,0.366,0.244,0.244,0.014,0.082,0.338,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_no_diesel_14m,0.0,-0.05,10,4.106,0.248,0.131,0.131,0.014,0.082,0.225,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_no_diesel_14m,0.0,-0.05,15,2.191,0.132,0.022,0.022,0.014,0.082,0.116,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_no_diesel_14m,0.0,-0.05,20,1.814,0.109,0.0,0.0,0.014,0.082,0.094,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_no_diesel_14m,0.0,-0.05,25,2.304,0.139,-0.042,0.028,0.014,0.082,0.122,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_no_diesel_14m,0.0,-0.05,30,3.024,0.182,-0.104,0.069,0.014,0.082,0.164,0.01,0.01,0.0,0.111,0.111,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.0,-20,15.581,0.94,0.763,0.763,0.014,0.082,0.857,0.038,0.038,0.0,0.023,0.023,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.0,-15,13.335,0.805,0.634,0.634,0.014,0.082,0.728,0.038,0.038,0.0,0.023,0.023,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.0,-10,11.155,0.673,0.509,0.509,0.014,0.082,0.603,0.038,0.038,0.0,0.023,0.023,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.0,-5,9.039,0.545,0.388,0.388,0.014,0.082,0.482,0.038,0.038,0.0,0.023,0.023,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.0,0,7.768,0.469,0.315,0.315,0.014,0.082,0.409,0.038,0.038,0.0,0.023,0.023,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.0,5,6.532,0.394,0.244,0.244,0.014,0.082,0.338,0.038,0.038,0.0,0.023,0.023,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.0,10,4.566,0.276,0.131,0.131,0.014,0.082,0.225,0.038,0.038,0.0,0.023,0.023,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.0,15,2.651,0.16,0.022,0.022,0.014,0.082,0.116,0.038,0.038,0.0,0.023,0.023,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.0,20,2.274,0.137,0.0,0.0,0.014,0.082,0.094,0.038,0.038,0.0,0.023,0.023,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.0,25,2.764,0.167,-0.042,0.028,0.014,0.082,0.122,0.038,0.038,0.0,0.023,0.023,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.0,30,3.485,0.21,-0.104,0.069,0.014,0.082,0.164,0.038,0.038,0.0,0.023,0.023,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.05,-20,17.413,1.051,0.763,0.763,0.014,0.082,0.857,0.149,0.149,0.0,0.019,0.019,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.05,-15,15.167,0.915,0.634,0.634,0.014,0.082,0.728,0.149,0.149,0.0,0.019,0.019,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.05,-10,12.987,0.784,0.509,0.509,0.014,0.082,0.603,0.149,0.149,0.0,0.019,0.019,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.05,-5,10.871,0.656,0.388,0.388,0.014,0.082,0.482,0.149,0.149,0.0,0.019,0.019,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.05,0,9.6,0.579,0.315,0.315,0.014,0.082,0.409,0.149,0.149,0.0,0.019,0.019,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.05,5,8.364,0.505,0.244,0.244,0.014,0.082,0.338,0.149,0.149,0.0,0.019,0.019,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.05,10,6.398,0.386,0.131,0.131,0.014,0.082,0.225,0.149,0.149,0.0,0.019,0.019,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.05,15,4.483,0.271,0.022,0.022,0.014,0.082,0.116,0.149,0.149,0.0,0.019,0.019,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.05,20,4.106,0.248,0.0,0.0,0.014,0.082,0.094,0.149,0.149,0.0,0.019,0.019,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.05,25,4.596,0.277,-0.042,0.028,0.014,0.082,0.122,0.149,0.149,0.0,0.019,0.019,59.699
2.626,ebus2030_no_diesel_14m,0.0,0.05,30,5.316,0.321,-0.104,0.069,0.014,0.082,0.164,0.149,0.149,0.0,0.019,0.019,59.699
2.626,ebus2030_no_diesel_14m,0.5,-0.05,-20,13.375,0.807,0.661,0.661,0.014,0.082,0.755,0.013,0.013,0.0,0.134,0.134,59.699
2.626,ebus2030_no_diesel_14m,0.5,-0.05,-15,11.129,0.672,0.532,0.532,0.014,0.082,0.626,0.013,0.013,0.0,0.134,0.134,59.699
2.626,ebus2030_no_diesel_14m,0.5,-0.05,-10,8.95,0.54,0.407,0.407,0.014,0.082,0.501,0.013,0.013,0.0,0.134,0.134,59.699
2.626,ebus2030_no_diesel_14m,0.5,-0.05,-5,6.834,0.412,0.286,0.286,0.014,0.082,0.38,0.013,0.013,0.0,0.134,0.134,59.699
2.626,ebus2030_no_diesel_14m,0.5,-0.05,0,5.563,0.336,0.213,0.213,0.014,0.082,0.307,0.013,0.013,0.0,0.134,0.134,59.699
