mean_speed_kmh,bus_type,level_of_loading,incline,t_amb,consumption_kwh_per_km,total_energy,heating_energy,heating_energy_el,ventilation_energy,other_energy,aux_energy,traction_power_fr_bat_wout_recup,traction_power_fr_bat_w_recup,recuperation_energy,traction_power_loss,energy_loss,distance
2.626,ebus2030_w_diesel_18m,0.0,-0.05,-20,8.44,0.509,0.767,0.35,0.018,0.105,0.471,0.013,0.013,0.0,0.142,0.142,59.699
2.626,ebus2030_w_diesel_18m,0.0,-0.05,-15,6.182,0.373,0.638,0.221,0.018,0.105,0.342,0.013,0.013,0.0,0.142,0.142,59.699
2.626,ebus2030_w_diesel_18m,0.0,-0.05,-10,3.99,0.241,0.512,0.095,0.018,0.105,0.216,0.013,0.013,0.0,0.142,0.142,59.699
2.626,ebus2030_w_diesel_18m,0.0,-0.05,-5,2.332,0.141,0.39,0.0,0.018,0.105,0.121,0.013,0.013,0.0,0.142,0.142,59.699
2.626,ebus2030_w_diesel_18m,0.0,-0.05,0,2.332,0.141,0.317,0.0,0.018,0.105,0.121,0.013,0.013,0.0,0.142,0.142,59.699
2.626,ebus2030_w_diesel_18m,0.0,-0.05,5,6.617,0.399,0.246,0.246,0.018,0.105,0.367,0.013,0.013,0.0,0.142,0.142,59.699
2.626,ebus2030_w_diesel_18m,0.0,-0.05,10,4.638,0.28,0.132,0.132,0.018,0.105,0.253,0.013,0.013,0.0,0.142,0.142,59.699
2.626,ebus2030_w_diesel_18m,0.0,-0.05,15,2.712,0.164,0.022,0.022,0.018,0.105,0.143,0.013,0.013,0.0,0.142,0.142,59.699
2.626,ebus2030_w_diesel_18m,0.0,-0.05,20,2.332,0.141,0.0,0.0,0.018,0.105,0.121,0.013,0.013,0.0,0.142,0.142,59.699
2.626,ebus2030_w_diesel_18m,0.0,-0.05,25,2.826,0.17,-0.042,0.028,0.018,0.105,0.149,0.013,0.013,0.0,0.142,0.142,59.699
2.626,ebus2030_w_diesel_18m,0.0,-0.05,30,3.551,0.214,-0.105,0.07,0.018,0.105,0.191,0.013,0.013,0.0,0.142,0.142,59.699
2.626,ebus2030_w_diesel_18m,0.0,0.0,-20,9.032,0.545,0.767,0.35,0.018,0.105,0.471,0.049,0.049,0.0,0.03,0.03,59.699
2.626,ebus2030_w_diesel_18m,0.0,0.0,-15,6.773,0.409,0.638,0.221,0.018,0.105,0.342,0.049,0.049,0.0,0.03,0.03,59.699
2.626,ebus2030_w_diesel_18m,0.0,0.0,-10,4.582,0.276,0.512,0.095,0.018,0.105,0.216,0.049,0.049,0.0,0.03,0.03,59.699
2.626,ebus2030_w_diesel_18m,0.0,0.0,-5,2.924,0.176,0.39,0.0,0.018,0.105,0.121,0.049,0.049,0.0,0.03,0.03,59.699
2.626,ebus2030_w_diesel_18m,0.0,0.0,0,2.924,0.176,0.317,0.0,0.018,0.105,0.121,0.049,0.049,0.0,0.03,0.03,59.699
2.626,ebus2030_w_diesel_18m,0.0,0.0,5,7.208,0.435,0.246,0.246,0.018,0.105,0.367,0.049,0.049,0.0,0.03,0.03,59.699
2.626,ebus2030_w_diesel_18m,0.0,0.0,10,5.23,0.316,0.132,0.132,0.018,0.105,0.253,0.049,0.049,0.0,0.03,0.03,59.699
2.626,ebus2030_w_diesel_18m,0.0,0.0,15,3.303,0.199,0.022,0.022,0.018,0.105,0.143,0.049,0.049,0.0,0.03,0.03,59.699
2.626,ebus2030_w_diesel_18m,0.0,0.0,20,2.924,0.176,0.0,0.0,0.018,0.105,0.121,0.049,0.049,0.0,0.03,0.03,59.699
2.626,ebus2030_w_diesel_18m,0.0,0.0,25,3.417,0.206,-0.042,0.028,0.018,0.105,0.149,0.049,0.049,0.0,0.03,0.03,59.699
