mean_speed_kmh,bus_type,level_of_loading,incline,t_amb,consumption_kwh_per_km,total_energy,heating_energy,heating_energy_el,ventilation_energy,other_energy,aux_energy,traction_power_fr_bat_wout_recup,traction_power_fr_bat_w_recup,recuperation_energy,traction_power_loss,energy_loss,distance
2.626,ebus2030_no_diesel_12m,0.0,-0.05,-20,14.822,0.894,0.761,0.761,0.012,0.07,0.841,0.009,0.009,0.0,0.095,0.095,59.699
2.626,ebus2030_no_diesel_12m,0.0,-0.05,-15,12.582,0.759,0.632,0.632,0.012,0.07,0.713,0.009,0.009,0.0,0.095,0.095,59.699
2.626,ebus2030_no_diesel_12m,0.0,-0.05,-10,10.409,0.628,0.508,0.508,0.012,0.07,0.588,0.009,0.009,0.0,0.095,0.095,59.699
2.626,ebus2030_no_diesel_12m,0.0,-0.05,-5,8.299,0.501,0.387,0.387,0.012,0.07,0.467,0.009,0.009,0.0,0.095,0.095,59.699
2.626,ebus2030_no_diesel_12m,0.0,-0.05,0,7.031,0.424,0.314,0.314,0.012,0.07,0.395,0.009,0.009,0.0,0.095,0.095,59.699
2.626,ebus2030_no_diesel_12m,0.0,-0.05,5,5.799,0.35,0.243,0.243,0.012,0.07,0.324,0.009,0.009,0.0,0.095,0.095,59.699
2.626,ebus2030_no_diesel_12m,0.0,-0.05,10,3.839,0.232,0.131,0.131,0.012,0.07,0.212,0.009,0.009,0.0,0.095,0.095,59.699
2.626,ebus2030_no_diesel_12m,0.0,-0.05,15,1.931,0.116,0.022,0.022,0.012,0.07,0.102,0.009,0.009,0.0,0.095,0.095,59.699
2.626,ebus2030_no_diesel_12m,0.0,-0.05,20,1.555,0.094,0.0,0.0,0.012,0.07,0.081,0.009,0.009,0.0,0.095,0.095,59.699
2.626,ebus2030_no_diesel_12m,0.0,-0.05,25,2.043,0.123,-0.042,0.028,0.012,0.07,0.109,0.009,0.009,0.0,0.095,0.095,59.699
2.626,ebus2030_no_diesel_12m,0.0,-0.05,30,2.761,0.167,-0.104,0.069,0.012,0.07,0.15,0.009,0.009,0.0,0.095,0.095,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.0,-20,15.218,0.918,0.761,0.761,0.012,0.07,0.841,0.033,0.033,0.0,0.02,0.02,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.0,-15,12.977,0.783,0.632,0.632,0.012,0.07,0.713,0.033,0.033,0.0,0.02,0.02,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.0,-10,10.804,0.652,0.508,0.508,0.012,0.07,0.588,0.033,0.033,0.0,0.02,0.02,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.0,-5,8.694,0.525,0.387,0.387,0.012,0.07,0.467,0.033,0.033,0.0,0.02,0.02,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.0,0,7.427,0.448,0.314,0.314,0.012,0.07,0.395,0.033,0.033,0.0,0.02,0.02,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.0,5,6.194,0.374,0.243,0.243,0.012,0.07,0.324,0.033,0.033,0.0,0.02,0.02,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.0,10,4.234,0.255,0.131,0.131,0.012,0.07,0.212,0.033,0.033,0.0,0.02,0.02,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.0,15,2.326,0.14,0.022,0.022,0.012,0.07,0.102,0.033,0.033,0.0,0.02,0.02,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.0,20,1.95,0.118,0.0,0.0,0.012,0.07,0.081,0.033,0.033,0.0,0.02,0.02,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.0,25,2.438,0.147,-0.042,0.028,0.012,0.07,0.109,0.033,0.033,0.0,0.02,0.02,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.0,30,3.156,0.19,-0.104,0.069,0.012,0.07,0.15,0.033,0.033,0.0,0.02,0.02,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.05,-20,16.788,1.013,0.761,0.761,0.012,0.07,0.841,0.127,0.127,0.0,0.016,0.016,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.05,-15,14.548,0.878,0.632,0.632,0.012,0.07,0.713,0.127,0.127,0.0,0.016,0.016,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.05,-10,12.374,0.747,0.508,0.508,0.012,0.07,0.588,0.127,0.127,0.0,0.016,0.016,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.05,-5,10.264,0.619,0.387,0.387,0.012,0.07,0.467,0.127,0.127,0.0,0.016,0.016,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.05,0,8.997,0.543,0.314,0.314,0.012,0.07,0.395,0.127,0.127,0.0,0.016,0.016,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.05,5,7.765,0.469,0.243,0.243,0.012,0.07,0.324,0.127,0.127,0.0,0.016,0.016,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.05,10,5.804,0.35,0.131,0.131,0.012,0.07,0.212,0.127,0.127,0.0,0.016,0.016,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.05,15,3.896,0.235,0.022,0.022,0.012,0.07,0.102,0.127,0.127,0.0,0.016,0.016,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.05,20,3.52,0.212,0.0,0.0,0.012,0.07,0.081,0.127,0.127,0.0,0.016,0.016,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.05,25,4.009,0.242,-0.042,0.028,0.012,0.07,0.109,0.127,0.127,0.0,0.016,0.016,59.699
2.626,ebus2030_no_diesel_12m,0.0,0.05,30,4.726,0.285,-0.104,0.069,0.012,0.07,0.15,0.127,0.127,0.0,0.016,0.016,59.699
2.626,ebus2030_no_diesel_12m,0.5,-0.05,-20,13.327,0.804,0.673,0.673,0.012,0.07,0.754,0.011,0.011,0.0,0.115,0.115,59.699
2.626,ebus2030_no_diesel_12m,0.5,-0.05,-15,11.086,0.669,0.545,0.545,0.012,0.07,0.625,0.011,0.011,0.0,0.115,0.115,59.699
2.626,ebus2030_no_diesel_12m,0.5,-0.05,-10,8.913,0.538,0.42,0.42,0.012,0.07,0.501,0.011,0.011,0.0,0.115,0.115,59.699
2.626,ebus2030_no_diesel_12m,0.5,-0.05,-5,6.803,0.411,0.299,0.299,0.012,0.07,0.38,0.011,0.011,0.0,0.115,0.115,59.699
2.626,ebus2030_no_diesel_12m,0.5,-0.05,0,5.536,0.334,0.226,0.226,0.012,0.07,0.307,0.011,0.011,0.0,0.115,0.115,59.699
2.626,ebus2030_no_diesel_12m,0.5,-0.05,5,4.303,0.26,0.156,0.156,0.012,0.07,0.236,0.011,0.011,0.0,0.115,0.115,59.699
2.626,ebus2030_no_diesel_12m,0.5,-0.05,10,2.343,0.141,0.043,0.043,0.012,0.07,0.124,0.011,0.011,0.0,0.115,0.115,59.699
2.626,ebus2030_no_diesel_12m,0.5,-0.05,15,2.353,0.142,-0.066,0.044,0.012,0.07,0.125,0.011,0.011,0.0,0.115,0.115,59.699
