level_of_loading,incline,mean_speed_kmh,t_amb,consumption_kwh_per_km
0,-0.04,12.1,-15,2.967
0,-0.04,12.1,-5,1.823
0,-0.04,12.1,5,0.844
0,-0.04,12.1,15,0.034
0,-0.04,12.1,25,-0.181
0,-0.04,12.1,35,0.314
0,-0.04,18,-15,1.658
0,-0.04,18,-5,0.939
0,-0.04,18,5,0.317
0,-0.04,18,15,-0.208
0,-0.04,18,25,-0.353
0,-0.04,18,35,-0.034
0,-0.04,25.2,-15,0.724
0,-0.04,25.2,-5,0.33
0,-0.04,25.2,5,-0.026
0,-0.04,25.2,15,-0.347
0,-0.04,25.2,25,-0.445
0,-0.04,25.2,35,-0.248
0,-0.04,30,-15,0.476
0,-0.04,30,-5,0.153
0,-0.04,30,5,-0.141
0,-0.04,30,15,-0.408
0,-0.04,30,25,-0.492
0,-0.04,30,35,-0.33
0,-0.04,37.1,-15,0.281
0,-0.04,37.1,-5,0.008
0,-0.04,37.1,5,-0.241
0,-0.04,37.1,15,-0.465
0,-0.04,37.1,25,-0.536
0,-0.04,37.1,35,-0.404
0,-0.03,12.1,-15,3.297
0,-0.03,12.1,-5,2.153
0,-0.03,12.1,5,1.175
0,-0.03,12.1,15,0.365
0,-0.03,12.1,25,0.149
0,-0.03,12.1,35,0.644
0,-0.03,18,-15,1.996
0,-0.03,18,-5,1.277
0,-0.03,18,5,0.654
0,-0.03,18,15,0.13
0,-0.03,18,25,-0.015
0,-0.03,18,35,0.304
0,-0.03,25.2,-15,1.072
0,-0.03,25.2,-5,0.678
0,-0.03,25.2,5,0.321
0,-0.03,25.2,15,0.001
0,-0.03,25.2,25,-0.097
0,-0.03,25.2,35,0.099
0,-0.03,30,-15,0.812
0,-0.03,30,-5,0.489
0,-0.03,30,5,0.195
0,-0.03,30,15,-0.072
0,-0.03,30,25,-0.156
0,-0.03,30,35,0.006
0,-0.03,37.1,-15,0.606
0,-0.03,37.1,-5,0.332
0,-0.03,37.1,5,0.084
0,-0.03,37.1,15,-0.14
0,-0.03,37.1,25,-0.212
0,-0.03,37.1,35,-0.08
0,-0.02,12.1,-15,3.628
0,-0.02,12.1,-5,2.484
0,-0.02,12.1,5,1.505
0,-0.02,12.1,15,0.695
0,-0.02,12.1,25,0.48
0,-0.02,12.1,35,0.974
0,-0.02,18,-15,2.334
0,-0.02,18,-5,1.615
0,-0.02,18,5,0.992
0,-0.02,18,15,0.467
0,-0.02,18,25,0.322
0,-0.02,18,35,0.642
0,-0.02,25.2,-15,1.42
0,-0.02,25.2,-5,1.026
0,-0.02,25.2,5,0.669
0,-0.02,25.2,15,0.349
0,-0.02,25.2,25,0.251
0,-0.02,25.2,35,0.447
0,-0.02,30,-15,1.148
0,-0.02,30,-5,0.826
0,-0.02,30,5,0.531
0,-0.02,30,15,0.264
0,-0.02,30,25,0.18
0,-0.02,30,35,0.342
0,-0.02,37.1,-15,0.93
0,-0.02,37.1,-5,0.657
0,-0.02,37.1,5,0.408
0,-0.02,37.1,15,0.184
0,-0.02,37.1,25,0.113
0,-0.02,37.1,35,0.245
0,-0.01,12.1,-15,3.97
0,-0.01,12.1,-5,2.826
0,-0.01,12.1,5,1.847
0,-0.01,12.1,15,1.036
0,-0.01,12.1,25,0.82
0,-0.01,12.1,35,1.315
0,-0.01,18,-15,2.702
0,-0.01,18,-5,1.982
0,-0.01,18,5,1.358
0,-0.01,18,15,0.833
0,-0.01,18,25,0.687
0,-0.01,18,35,1.005
0,-0.01,25.2,-15,1.8
0,-0.01,25.2,-5,1.406
0,-0.01,25.2,5,1.048
0,-0.01,25.2,15,0.726
0,-0.01,25.2,25,0.627
0,-0.01,25.2,35,0.823
0,-0.01,30,-15,1.541
0,-0.01,30,-5,1.217
0,-0.01,30,5,0.92
0,-0.01,30,15,0.651
0,-0.01,30,25,0.566
0,-0.01,30,35,0.726
0,-0.01,37.1,-15,1.338
0,-0.01,37.1,-5,1.062
0,-0.01,37.1,5,0.81
0,-0.01,37.1,15,0.583
0,-0.01,37.1,25,0.51
0,-0.01,37.1,35,0.639
0,0,12.1,-15,4.356
0,0,12.1,-5,3.211
0,0,12.1,5,2.232
0,0,12.1,15,1.422
0,0,12.1,25,1.206
0,0,12.1,35,1.7
0,0,18,-15,3.099
0,0,18,-5,2.379
0,0,18,5,1.756
0,0,18,15,1.23
0,0,18,25,1.084
0,0,18,35,1.402
0,0,25.2,-15,2.201
0,0,25.2,-5,1.806
0,0,25.2,5,1.448
0,0,25.2,15,1.127
0,0,25.2,25,1.028
0,0,25.2,35,1.223
0,0,30,-15,1.953
0,0,30,-5,1.628
0,0,30,5,1.331
0,0,30,15,1.062
0,0,30,25,0.977
0,0,30,35,1.137
0,0,37.1,-15,1.76
0,0,37.1,-5,1.484
0,0,37.1,5,1.232
0,0,37.1,15,1.006
0,0,37.1,25,0.932
0,0,37.1,35,1.062
0,0.01,12.1,-15,4.742
0,0.01,12.1,-5,3.597
0,0.01,12.1,5,2.618
0,0.01,12.1,15,1.808
0,0.01,12.1,25,1.592
0,0.01,12.1,35,2.087
0,0.01,18,-15,3.497
0,0.01,18,-5,2.777
0,0.01,18,5,2.154
0,0.01,18,15,1.628
0,0.01,18,25,1.482
0,0.01,18,35,1.8
0,0.01,25.2,-15,2.602
0,0.01,25.2,-5,2.207
0,0.01,25.2,5,1.849
0,0.01,25.2,15,1.528
0,0.01,25.2,25,1.429
0,0.01,25.2,35,1.624
0,0.01,30,-15,2.364
0,0.01,30,-5,2.039
0,0.01,30,5,1.743
0,0.01,30,15,1.474
0,0.01,30,25,1.388
0,0.01,30,35,1.548
0,0.01,37.1,-15,2.183
0,0.01,37.1,-5,1.907
0,0.01,37.1,5,1.655
0,0.01,37.1,15,1.428
0,0.01,37.1,25,1.354
0,0.01,37.1,35,1.484
0,0.02,12.1,-15,5.128
0,0.02,12.1,-5,3.983
0,0.02,12.1,5,3.005
0,0.02,12.1,15,2.194
0,0.02,12.1,25,1.978
0,0.02,12.1,35,2.473
0,0.02,18,-15,3.895
0,0.02,18,-5,3.175
0,0.02,18,5,2.551
0,0.02,18,15,2.026
0,0.02,18,25,1.88
0,0.02,18,35,2.198
0,0.02,25.2,-15,3.003
0,0.02,25.2,-5,2.608
0,0.02,25.2,5,2.25
0,0.02,25.2,15,1.928
0,0.02,25.2,25,1.83
0,0.02,25.2,35,2.025
0,0.02,30,-15,2.775
0,0.02,30,-5,2.451
0,0.02,30,5,2.154
0,0.02,30,15,1.885
0,0.02,30,25,1.8
0,0.02,30,35,1.96
0,0.02,37.1,-15,2.606
0,0.02,37.1,-5,2.329
0,0.02,37.1,5,2.078
0,0.02,37.1,15,1.851
0,0.02,37.1,25,1.777
0,0.02,37.1,35,1.907
0,0.03,12.1,-15,5.514
0,0.03,12.1,-5,4.37
0,0.03,12.1,5,3.391
0,0.03,12.1,15,2.58
0,0.03,12.1,25,2.364
0,0.03,12.1,35,2.859
0,0.03,18,-15,4.293
0,0.03,18,-5,3.573
0,0.03,18,5,2.949
0,0.03,18,15,2.424
0,0.03,18,25,2.278
0,0.03,18,35,2.596
0,0.03,25.2,-15,3.405
0,0.03,25.2,-5,3.01
0,0.03,25.2,5,2.652
0,0.03,25.2,15,2.33
0,0.03,25.2,25,2.231
0,0.03,25.2,35,2.427
0,0.03,30,-15,3.187
0,0.03,30,-5,2.862
0,0.03,30,5,2.566
0,0.03,30,15,2.297
0,0.03,30,25,2.211
0,0.03,30,35,2.371
0,0.03,37.1,-15,3.028
0,0.03,37.1,-5,2.752
0,0.03,37.1,5,2.5
0,0.03,37.1,15,2.274
0,0.03,37.1,25,2.2
0,0.03,37.1,35,2.329
0,0.04,12.1,-15,5.9
0,0.04,12.1,-5,4.756
0,0.04,12.1,5,3.777
0,0.04,12.1,15,2.966
0,0.04,12.1,25,2.75
0,0.04,12.1,35,3.245
0,0.04,18,-15,4.691
0,0.04,18,-5,3.971
0,0.04,18,5,3.347
0,0.04,18,15,2.821
0,0.04,18,25,2.676
0,0.04,18,35,2.994
0,0.04,25.2,-15,3.806
0,0.04,25.2,-5,3.411
0,0.04,25.2,5,3.053
