mean_speed_kmh,bus_type,level_of_loading,incline,t_amb,consumption_kwh_per_km,total_energy,heating_energy,heating_energy_el,ventilation_energy,other_energy,aux_energy,traction_power_fr_bat_wout_recup,traction_power_fr_bat_w_recup,recuperation_energy,traction_power_loss,energy_loss,distance
2.626,ebus2030_no_diesel_7m,0.0,-0.05,-20,14.077,0.849,0.755,0.755,0.007,0.041,0.802,0.005,0.005,0.0,0.055,0.055,59.699
2.626,ebus2030_no_diesel_7m,0.0,-0.05,-15,11.852,0.715,0.627,0.627,0.007,0.041,0.674,0.005,0.005,0.0,0.055,0.055,59.699
2.626,ebus2030_no_diesel_7m,0.0,-0.05,-10,9.694,0.585,0.504,0.504,0.007,0.041,0.551,0.005,0.005,0.0,0.055,0.055,59.699
2.626,ebus2030_no_diesel_7m,0.0,-0.05,-5,7.599,0.459,0.384,0.384,0.007,0.041,0.431,0.005,0.005,0.0,0.055,0.055,59.699
2.626,ebus2030_no_diesel_7m,0.0,-0.05,0,6.341,0.383,0.311,0.311,0.007,0.041,0.359,0.005,0.005,0.0,0.055,0.055,59.699
2.626,ebus2030_no_diesel_7m,0.0,-0.05,5,5.118,0.309,0.241,0.241,0.007,0.041,0.288,0.005,0.005,0.0,0.055,0.055,59.699
2.626,ebus2030_no_diesel_7m,0.0,-0.05,10,3.173,0.191,0.13,0.13,0.007,0.041,0.177,0.005,0.005,0.0,0.055,0.055,59.699
2.626,ebus2030_no_diesel_7m,0.0,-0.05,15,1.28,0.077,0.021,0.021,0.007,0.041,0.068,0.005,0.005,0.0,0.055,0.055,59.699
2.626,ebus2030_no_diesel_7m,0.0,-0.05,20,0.907,0.055,0.0,0.0,0.007,0.041,0.047,0.005,0.005,0.0,0.055,0.055,59.699
2.626,ebus2030_no_diesel_7m,0.0,-0.05,25,1.391,0.084,-0.042,0.028,0.007,0.041,0.075,0.005,0.005,0.0,0.055,0.055,59.699
2.626,ebus2030_no_diesel_7m,0.0,-0.05,30,2.103,0.127,-0.103,0.069,0.007,0.041,0.116,0.005,0.005,0.0,0.055,0.055,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.0,-20,14.309,0.863,0.755,0.755,0.007,0.041,0.802,0.019,0.019,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.0,-15,12.084,0.729,0.627,0.627,0.007,0.041,0.674,0.019,0.019,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.0,-10,9.926,0.599,0.504,0.504,0.007,0.041,0.551,0.019,0.019,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.0,-5,7.831,0.473,0.384,0.384,0.007,0.041,0.431,0.019,0.019,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.0,0,6.572,0.397,0.311,0.311,0.007,0.041,0.359,0.019,0.019,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.0,5,5.349,0.323,0.241,0.241,0.007,0.041,0.288,0.019,0.019,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.0,10,3.404,0.205,0.13,0.13,0.007,0.041,0.177,0.019,0.019,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.0,15,1.511,0.091,0.021,0.021,0.007,0.041,0.068,0.019,0.019,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.0,20,1.138,0.069,0.0,0.0,0.007,0.041,0.047,0.019,0.019,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.0,25,1.623,0.098,-0.042,0.028,0.007,0.041,0.075,0.019,0.019,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.0,30,2.334,0.141,-0.103,0.069,0.007,0.041,0.116,0.019,0.019,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.05,-20,15.225,0.919,0.755,0.755,0.007,0.041,0.802,0.074,0.074,0.0,0.01,0.01,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.05,-15,13.0,0.784,0.627,0.627,0.007,0.041,0.674,0.074,0.074,0.0,0.01,0.01,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.05,-10,10.842,0.654,0.504,0.504,0.007,0.041,0.551,0.074,0.074,0.0,0.01,0.01,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.05,-5,8.747,0.528,0.384,0.384,0.007,0.041,0.431,0.074,0.074,0.0,0.01,0.01,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.05,0,7.489,0.452,0.311,0.311,0.007,0.041,0.359,0.074,0.074,0.0,0.01,0.01,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.05,5,6.266,0.378,0.241,0.241,0.007,0.041,0.288,0.074,0.074,0.0,0.01,0.01,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.05,10,4.321,0.261,0.13,0.13,0.007,0.041,0.177,0.074,0.074,0.0,0.01,0.01,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.05,15,2.427,0.146,0.021,0.021,0.007,0.041,0.068,0.074,0.074,0.0,0.01,0.01,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.05,20,2.054,0.124,0.0,0.0,0.007,0.041,0.047,0.074,0.074,0.0,0.01,0.01,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.05,25,2.539,0.153,-0.042,0.028,0.007,0.041,0.075,0.074,0.074,0.0,0.01,0.01,59.699
2.626,ebus2030_no_diesel_7m,0.0,0.05,30,3.25,0.196,-0.103,0.069,0.007,0.041,0.116,0.074,0.074,0.0,0.01,0.01,59.699
2.626,ebus2030_no_diesel_7m,0.5,-0.05,-20,13.205,0.797,0.704,0.704,0.007,0.041,0.751,0.006,0.006,0.0,0.067,0.067,59.699
2.626,ebus2030_no_diesel_7m,0.5,-0.05,-15,10.98,0.663,0.576,0.576,0.007,0.041,0.623,0.006,0.006,0.0,0.067,0.067,59.699
2.626,ebus2030_no_diesel_7m,0.5,-0.05,-10,8.822,0.532,0.453,0.453,0.007,0.041,0.5,0.006,0.006,0.0,0.067,0.067,59.699
2.626,ebus2030_no_diesel_7m,0.5,-0.05,-5,6.727,0.406,0.333,0.333,0.007,0.041,0.38,0.006,0.006,0.0,0.067,0.067,59.699
2.626,ebus2030_no_diesel_7m,0.5,-0.05,0,5.469,0.33,0.26,0.26,0.007,0.041,0.308,0.006,0.006,0.0,0.067,0.067,59.699
2.626,ebus2030_no_diesel_7m,0.5,-0.05,5,4.245,0.256,0.19,0.19,0.007,0.041,0.237,0.006,0.006,0.0,0.067,0.067,59.699
2.626,ebus2030_no_diesel_7m,0.5,-0.05,10,2.301,0.139,0.079,0.079,0.007,0.041,0.126,0.006,0.006,0.0,0.067,0.067,59.699
2.626,ebus2030_no_diesel_7m,0.5,-0.05,15,1.271,0.077,-0.03,0.02,0.007,0.041,0.067,0.006,0.006,0.0,0.067,0.067,59.699
2.626,ebus2030_no_diesel_7m,0.5,-0.05,20,1.519,0.092,-0.051,0.034,0.007,0.041,0.081,0.006,0.006,0.0,0.067,0.067,59.699
2.626,ebus2030_no_diesel_7m,0.5,-0.05,25,2.003,0.121,-0.093,0.062,0.007,0.041,0.109,0.006,0.006,0.0,0.067,0.067,59.699
2.626,ebus2030_no_diesel_7m,0.5,-0.05,30,2.715,0.164,-0.154,0.103,0.007,0.041,0.15,0.006,0.006,0.0,0.067,0.067,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.0,-20,13.485,0.814,0.704,0.704,0.007,0.041,0.751,0.023,0.023,0.0,0.014,0.014,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.0,-15,11.26,0.679,0.576,0.576,0.007,0.041,0.623,0.023,0.023,0.0,0.014,0.014,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.0,-10,9.102,0.549,0.453,0.453,0.007,0.041,0.5,0.023,0.023,0.0,0.014,0.014,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.0,-5,7.007,0.423,0.333,0.333,0.007,0.041,0.38,0.023,0.023,0.0,0.014,0.014,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.0,0,5.748,0.347,0.26,0.26,0.007,0.041,0.308,0.023,0.023,0.0,0.014,0.014,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.0,5,4.525,0.273,0.19,0.19,0.007,0.041,0.237,0.023,0.023,0.0,0.014,0.014,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.0,10,2.58,0.156,0.079,0.079,0.007,0.041,0.126,0.023,0.023,0.0,0.014,0.014,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.0,15,1.55,0.094,-0.03,0.02,0.007,0.041,0.067,0.023,0.023,0.0,0.014,0.014,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.0,20,1.799,0.109,-0.051,0.034,0.007,0.041,0.081,0.023,0.023,0.0,0.014,0.014,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.0,25,2.283,0.138,-0.093,0.062,0.007,0.041,0.109,0.023,0.023,0.0,0.014,0.014,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.0,30,2.995,0.181,-0.154,0.103,0.007,0.041,0.15,0.023,0.023,0.0,0.014,0.014,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.05,-20,14.595,0.881,0.704,0.704,0.007,0.041,0.751,0.09,0.09,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.05,-15,12.37,0.746,0.576,0.576,0.007,0.041,0.623,0.09,0.09,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.05,-10,10.211,0.616,0.453,0.453,0.007,0.041,0.5,0.09,0.09,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.05,-5,8.117,0.49,0.333,0.333,0.007,0.041,0.38,0.09,0.09,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.05,0,6.858,0.414,0.26,0.26,0.007,0.041,0.308,0.09,0.09,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.05,5,5.635,0.34,0.19,0.19,0.007,0.041,0.237,0.09,0.09,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.05,10,3.69,0.223,0.079,0.079,0.007,0.041,0.126,0.09,0.09,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.05,15,2.66,0.161,-0.03,0.02,0.007,0.041,0.067,0.09,0.09,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.05,20,2.909,0.175,-0.051,0.034,0.007,0.041,0.081,0.09,0.09,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.05,25,3.393,0.205,-0.093,0.062,0.007,0.041,0.109,0.09,0.09,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,0.5,0.05,30,4.104,0.248,-0.154,0.103,0.007,0.041,0.15,0.09,0.09,0.0,0.012,0.012,59.699
2.626,ebus2030_no_diesel_7m,1.0,-0.05,-20,12.332,0.744,0.653,0.653,0.007,0.041,0.7,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_7m,1.0,-0.05,-15,10.107,0.61,0.525,0.525,0.007,0.041,0.572,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_7m,1.0,-0.05,-10,7.949,0.48,0.402,0.402,0.007,0.041,0.449,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_7m,1.0,-0.05,-5,5.854,0.353,0.282,0.282,0.007,0.041,0.329,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_7m,1.0,-0.05,0,4.596,0.277,0.209,0.209,0.007,0.041,0.256,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_7m,1.0,-0.05,5,3.373,0.204,0.139,0.139,0.007,0.041,0.186,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_7m,1.0,-0.05,10,1.428,0.086,0.028,0.028,0.007,0.041,0.075,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_7m,1.0,-0.05,15,1.882,0.114,-0.081,0.054,0.007,0.041,0.101,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_7m,1.0,-0.05,20,2.131,0.129,-0.102,0.068,0.007,0.041,0.115,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_7m,1.0,-0.05,25,2.615,0.158,-0.144,0.096,0.007,0.041,0.143,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_7m,1.0,-0.05,30,3.327,0.201,-0.205,0.137,0.007,0.041,0.184,0.007,0.007,0.0,0.079,0.079,59.699
2.626,ebus2030_no_diesel_7m,1.0,0.0,-20,12.661,0.764,0.653,0.653,0.007,0.041,0.7,0.027,0.027,0.0,0.017,0.017,59.699
2.626,ebus2030_no_diesel_7m,1.0,0.0,-15,10.436,0.63,0.525,0.525,0.007,0.041,0.572,0.027,0.027,0.0,0.017,0.017,59.699
2.626,ebus2030_no_diesel_7m,1.0,0.0,-10,8.277,0.499,0.402,0.402,0.007,0.041,0.449,0.027,0.027,0.0,0.017,0.017,59.699
2.626,ebus2030_no_diesel_7m,1.0,0.0,-5,6.183,0.373,0.282,0.282,0.007,0.041,0.329,0.027,0.027,0.0,0.017,0.017,59.699
2.626,ebus2030_no_diesel_7m,1.0,0.0,0,4.924,0.297,0.209,0.209,0.007,0.041,0.256,0.027,0.027,0.0,0.017,0.017,59.699
2.626,ebus2030_no_diesel_7m,1.0,0.0,5,3.701,0.223,0.139,0.139,0.007,0.041,0.186,0.027,0.027,0.0,0.017,0.017,59.699
2.626,ebus2030_no_diesel_7m,1.0,0.0,10,1.756,0.106,0.028,0.028,0.007,0.041,0.075,0.027,0.027,0.0,0.017,0.017,59.699
2.626,ebus2030_no_diesel_7m,1.0,0.0,15,2.211,0.133,-0.081,0.054,0.007,0.041,0.101,0.027,0.027,0.0,0.017,0.017,59.699
2.626,ebus2030_no_diesel_7m,1.0,0.0,20,2.459,0.148,-0.102,0.068,0.007,0.041,0.115,0.027,0.027,0.0,0.017,0.017,59.699
2.626,ebus2030_no_diesel_7m,1.0,0.0,25,2.943,0.178,-0.144,0.096,0.007,0.041,0.143,0.027,0.027,0.0,0.017,0.017,59.699
