INFO 2025-04-04 12:52:09,734 Watching for file changes with StatReloader
INFO 2025-04-04 13:05:56,582 "GET /static/core/images/WB.svg HTTP/1.1" 200 1516
INFO 2025-04-04 13:05:57,080 "GET /simba/progress2/32aef3d0-6d7f-4f3c-b661-60459bdcce2b/progress_trips.html/ HTTP/1.1" 286 546
INFO 2025-04-04 13:06:41,935 "GET /simba/trips/a58f6869-c689-42e1-8b40-a3be51063443/1 HTTP/1.1" 200 33466
INFO 2025-04-04 13:06:41,997 "GET /static/templates/js/custom.js HTTP/1.1" 200 1960
INFO 2025-04-04 13:06:42,002 "GET /static/bootstrap.min.js HTTP/1.1" 200 60636
INFO 2025-04-04 13:06:42,007 "GET /static/nouislider.min.css HTTP/1.1" 200 4220
INFO 2025-04-04 13:06:42,017 "GET /static/nouislider.min.js HTTP/1.1" 200 27744
INFO 2025-04-04 13:06:42,022 "GET /static/class-tools.js HTTP/1.1" 200 3294
INFO 2025-04-04 13:06:42,026 "GET /static/css/dist/styles.css?v=1743772001 HTTP/1.1" 200 61333
INFO 2025-04-04 13:06:42,029 "GET /static/htmx.min.js HTTP/1.1" 200 48102
INFO 2025-04-04 13:06:42,031 "GET /static/popper.js HTTP/1.1" 200 63070
INFO 2025-04-04 13:06:42,034 "GET /static/jquery.min.js HTTP/1.1" 200 87462
INFO 2025-04-04 13:06:42,034 "GET /static/chart.umd.js HTTP/1.1" 200 205615
INFO 2025-04-04 13:06:42,043 "GET /static/core/images/logo/webus_green.svg HTTP/1.1" 200 4688
INFO 2025-04-04 13:06:42,046 "GET /static/ebustoolbox/js/file_drop_zone_handling.js HTTP/1.1" 200 2918
WARNING 2025-04-04 13:06:42,059 "GET /static/bootstrap.min.js.map HTTP/1.1" 404 1874
WARNING 2025-04-04 13:06:42,059 "GET /static/popper.js.map HTTP/1.1" 404 1853
INFO 2025-04-04 13:06:42,216 "GET /static/core/fonts/Inter_18pt-Light.ttf HTTP/1.1" 200 343704
INFO 2025-04-04 13:06:42,219 "GET /static/core/fonts/Inter_18pt-SemiBold.ttf HTTP/1.1" 200 343828
WARNING 2025-04-04 13:06:42,226 "GET /static/chart.umd.js.map HTTP/1.1" 404 1862
INFO 2025-04-04 13:06:42,228 "GET /static/core/fonts/Inter_18pt-Regular.ttf HTTP/1.1" 200 342680
INFO 2025-04-04 13:06:42,366 "GET /static/core/images/WB.svg HTTP/1.1" 200 1516
INFO 2025-04-04 13:06:42,895 "GET /simba/progress2/32aef3d0-6d7f-4f3c-b661-60459bdcce2b/progress_trips.html/ HTTP/1.1" 286 555
INFO 2025-04-04 13:09:04,195 "GET /simba/trips/a58f6869-c689-42e1-8b40-a3be51063443/1 HTTP/1.1" 200 33466
INFO 2025-04-04 13:09:04,283 "GET /static/class-tools.js HTTP/1.1" 200 3294
INFO 2025-04-04 13:09:04,283 "GET /static/templates/js/custom.js HTTP/1.1" 200 1960
INFO 2025-04-04 13:09:04,287 "GET /static/htmx.min.js HTTP/1.1" 200 48102
INFO 2025-04-04 13:09:04,288 "GET /static/jquery.min.js HTTP/1.1" 200 87462
INFO 2025-04-04 13:09:04,289 "GET /static/bootstrap.min.js HTTP/1.1" 200 60636
INFO 2025-04-04 13:09:04,296 "GET /static/css/dist/styles.css?v=1743772144 HTTP/1.1" 200 61333
INFO 2025-04-04 13:09:04,304 "GET /static/nouislider.min.css HTTP/1.1" 200 4220
INFO 2025-04-04 13:09:04,306 "GET /static/nouislider.min.js HTTP/1.1" 200 27744
INFO 2025-04-04 13:09:04,306 "GET /static/popper.js HTTP/1.1" 200 63070
INFO 2025-04-04 13:09:04,314 "GET /static/chart.umd.js HTTP/1.1" 200 205615
INFO 2025-04-04 13:09:04,322 "GET /static/core/images/logo/webus_green.svg HTTP/1.1" 200 4688
INFO 2025-04-04 13:09:04,327 "GET /static/ebustoolbox/js/file_drop_zone_handling.js HTTP/1.1" 200 2918
WARNING 2025-04-04 13:09:04,352 "GET /static/bootstrap.min.js.map HTTP/1.1" 404 1874
WARNING 2025-04-04 13:09:04,356 "GET /static/popper.js.map HTTP/1.1" 404 1853
WARNING 2025-04-04 13:09:04,495 "GET /static/chart.umd.js.map HTTP/1.1" 404 1862
INFO 2025-04-04 13:09:04,515 "GET /static/core/fonts/Inter_18pt-Light.ttf HTTP/1.1" 200 343704
INFO 2025-04-04 13:09:04,527 "GET /static/core/fonts/Inter_18pt-Regular.ttf HTTP/1.1" 200 342680
INFO 2025-04-04 13:09:04,532 "GET /static/core/fonts/Inter_18pt-SemiBold.ttf HTTP/1.1" 200 343828
INFO 2025-04-04 13:09:04,683 "GET /static/core/images/WB.svg HTTP/1.1" 200 1516
INFO 2025-04-04 13:09:05,175 "GET /simba/progress2/32aef3d0-6d7f-4f3c-b661-60459bdcce2b/progress_trips.html/ HTTP/1.1" 286 751
INFO 2025-04-04 13:11:01,889 "GET /simba/trips/a58f6869-c689-42e1-8b40-a3be51063443/1 HTTP/1.1" 200 33466
INFO 2025-04-04 13:11:01,951 "GET /static/popper.js HTTP/1.1" 200 63070
INFO 2025-04-04 13:11:01,955 "GET /static/templates/js/custom.js HTTP/1.1" 200 1960
INFO 2025-04-04 13:11:01,962 "GET /static/bootstrap.min.js HTTP/1.1" 200 60636
INFO 2025-04-04 13:11:01,963 "GET /static/nouislider.min.css HTTP/1.1" 200 4220
INFO 2025-04-04 13:11:01,965 "GET /static/htmx.min.js HTTP/1.1" 200 48102
INFO 2025-04-04 13:11:01,967 "GET /static/class-tools.js HTTP/1.1" 200 3294
INFO 2025-04-04 13:11:01,977 "GET /static/jquery.min.js HTTP/1.1" 200 87462
INFO 2025-04-04 13:11:01,978 "GET /static/chart.umd.js HTTP/1.1" 200 205615
INFO 2025-04-04 13:11:01,979 "GET /static/css/dist/styles.css?v=1743772261 HTTP/1.1" 200 61333
INFO 2025-04-04 13:11:01,980 "GET /static/nouislider.min.js HTTP/1.1" 200 27744
INFO 2025-04-04 13:11:01,991 "GET /static/core/images/logo/webus_green.svg HTTP/1.1" 200 4688
INFO 2025-04-04 13:11:01,993 "GET /static/ebustoolbox/js/file_drop_zone_handling.js HTTP/1.1" 200 2918
WARNING 2025-04-04 13:11:02,004 "GET /static/bootstrap.min.js.map HTTP/1.1" 404 1874
WARNING 2025-04-04 13:11:02,007 "GET /static/popper.js.map HTTP/1.1" 404 1853
INFO 2025-04-04 13:11:02,171 "GET /static/core/fonts/Inter_18pt-Light.ttf HTTP/1.1" 200 343704
WARNING 2025-04-04 13:11:02,181 "GET /static/chart.umd.js.map HTTP/1.1" 404 1862
INFO 2025-04-04 13:11:02,182 "GET /static/core/fonts/Inter_18pt-SemiBold.ttf HTTP/1.1" 200 343828
INFO 2025-04-04 13:11:02,188 "GET /static/core/fonts/Inter_18pt-Regular.ttf HTTP/1.1" 200 342680
INFO 2025-04-04 13:11:02,350 "GET /static/core/images/WB.svg HTTP/1.1" 200 1516
INFO 2025-04-04 13:11:02,858 "GET /simba/progress2/32aef3d0-6d7f-4f3c-b661-60459bdcce2b/progress_trips.html/ HTTP/1.1" 286 777
INFO 2025-04-04 13:15:29,796 "GET /simba/trips/a58f6869-c689-42e1-8b40-a3be51063443/1 HTTP/1.1" 200 33466
INFO 2025-04-04 13:15:29,852 "GET /static/templates/js/custom.js HTTP/1.1" 200 1960
INFO 2025-04-04 13:15:29,867 "GET /static/nouislider.min.css HTTP/1.1" 200 4220
INFO 2025-04-04 13:15:29,871 "GET /static/bootstrap.min.js HTTP/1.1" 200 60636
INFO 2025-04-04 13:15:29,873 "GET /static/popper.js HTTP/1.1" 200 63070
INFO 2025-04-04 13:15:29,874 "GET /static/class-tools.js HTTP/1.1" 200 3294
INFO 2025-04-04 13:15:29,876 "GET /static/jquery.min.js HTTP/1.1" 200 87462
INFO 2025-04-04 13:15:29,882 "GET /static/chart.umd.js HTTP/1.1" 200 205615
INFO 2025-04-04 13:15:29,884 "GET /static/nouislider.min.js HTTP/1.1" 200 27744
INFO 2025-04-04 13:15:29,885 "GET /static/htmx.min.js HTTP/1.1" 200 48102
